ID,HW_Platform,Backend,Precision,Category,Output_Tokens,Latency_s,Gross_Energy_J,Net_Energy_J,Power_W,Q_ped,LpW
1,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,39.1595,1567.7793,1238.8398,40.04,8.123,0.00016744
2,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,193,38.0043,1481.0715,1161.8358,38.97,8.875,0.000201
3,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,43.9437,1829.3892,1460.2625,41.63,8.545,0.00013316
4,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,143,42.96,1709.619,1348.7549,39.8,7.669,0.00013236
5,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,172,34.0141,1440.9077,1155.189,42.36,8.318,0.00021169
6,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,167,47.6625,1969.3168,1568.9521,41.32,9.031,0.00012077
7,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,134,41.0913,1784.4309,1439.2636,43.43,8.153,0.00013786
8,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,35.601,1401.1042,1102.0561,39.36,8.455,0.0002155
9,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,172,48.0194,1981.6856,1578.3224,41.27,8.502,0.00011218
10,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,194,44.9786,1665.3369,1287.5163,37.03,7.742,0.00013369
11,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,34.7715,1251.5953,959.5149,35.99,8.485,0.00025432
12,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,170,51.1968,2256.4312,1826.3782,44.07,7.571,8.097e-05
13,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,168,45.1575,1754.6724,1375.3493,38.86,7.94,0.00012784
14,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,180,41.5449,1699.8978,1350.9203,40.92,8.756,0.00015601
15,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,199,50.1872,1933.8672,1512.2949,38.53,8.411,0.00011082
16,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,165,42.4602,1530.5714,1173.9057,36.05,8.094,0.00016239
17,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,164,41.4484,1580.7755,1232.6093,38.14,8.454,0.00016547
18,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,38.0344,1640.2698,1320.7811,43.13,8.211,0.00016345
19,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,186,44.742,1791.6188,1415.7861,40.04,8.246,0.00013018
20,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,133,44.1737,1418.4092,1047.3505,32.11,8.555,0.00018491
21,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,151,41.6793,1556.581,1206.4751,37.35,7.891,0.00015693
22,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,37.3341,1655.3192,1341.713,44.34,8.259,0.00016488
23,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,186,42.3016,1580.0379,1224.7043,37.35,8.09,0.00015616
24,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,161,41.2231,1310.8251,964.5512,31.8,7.479,0.0001881
25,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,174,34.3992,1538.529,1249.5754,44.73,7.798,0.00018141
26,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,178,33.6522,1362.5234,1079.8448,40.49,8.993,0.00024747
27,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,194,44.6518,1690.2929,1315.2176,37.85,8.425,0.00014346
28,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,148,28.0,1030.4011,795.2011,36.8,7.605,0.00034156
29,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,159,42.7092,1789.0136,1430.2562,41.89,7.501,0.0001228
30,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,184,39.0184,1412.5836,1084.8295,36.2,8.186,0.00019339
31,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,175,48.6645,2049.6964,1640.9144,42.12,8.989,0.00011257
32,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,190,38.9353,1557.3207,1230.2644,40.0,8.15,0.00017014
33,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,150,45.1612,1759.3177,1379.9635,38.96,8.867,0.00014228
34,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,185,39.4567,1523.3943,1191.9583,38.61,8.409,0.0001788
35,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,42.2142,1582.511,1227.9114,37.49,8.466,0.00016332
36,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,188,45.5789,1903.3638,1520.5008,41.76,7.599,0.00010965
37,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,181,39.1022,1371.365,1042.9065,35.07,8.69,0.00021309
38,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,175,46.9814,1523.2901,1128.6464,32.42,8.079,0.00015236
39,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,159,36.234,1458.4393,1154.0735,40.25,8.654,0.00020695
40,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,176,43.1908,1740.9924,1378.1897,40.31,7.849,0.00013186
41,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,46.5823,1853.0814,1461.7905,39.78,8.325,0.00012226
42,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,175,45.1642,1785.2077,1405.8284,39.53,8.409,0.00013244
43,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,158,51.9488,1920.9685,1484.5985,36.98,8.166,0.00010588
44,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,167,37.4774,1531.1849,1216.3745,40.86,8.434,0.00018501
45,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,182,34.1526,1295.7681,1008.8863,37.94,8.112,0.00023543
46,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,169,36.2306,1318.6161,1014.2791,36.4,7.928,0.00021574
47,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,188,45.1664,1671.5349,1292.1373,37.01,9.011,0.0001544
48,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,189,44.2888,2000.6235,1628.5977,45.17,8.743,0.00012121
49,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,197,42.1522,1350.0327,995.9543,32.03,7.875,0.00018758
50,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,35.536,1416.0845,1117.5818,39.85,8.513,0.00021436
51,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,199,45.7411,1473.9201,1089.695,32.22,7.884,0.00015817
52,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,157,34.9866,1319.7357,1025.8483,37.72,7.671,0.00021373
53,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,158,47.8583,1750.7679,1348.7579,36.58,8.736,0.00013534
54,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,176,57.0302,1756.6661,1277.6127,30.8,7.422,0.00010186
55,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,168,43.5788,1719.692,1353.6298,39.46,8.685,0.00014723
56,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,152,44.7488,1645.4068,1269.517,36.77,8.119,0.00014292
57,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,168,38.9386,1197.4688,870.3849,30.75,8.138,0.00024012
58,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,167,31.8248,1306.0437,1038.7149,41.04,8.437,0.00025523
59,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,163,38.3453,1653.5467,1331.446,43.12,8.519,0.00016686
60,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,171,35.6984,1546.2902,1246.424,43.32,7.843,0.00017627
61,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,33.7862,1329.7005,1045.8966,39.36,8.585,0.00024295
62,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,182,50.9007,1947.5237,1519.9575,38.26,8.294,0.0001072
63,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,43.0735,1841.3278,1479.5107,42.75,7.637,0.00011984
64,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,181,43.6503,1920.1049,1553.4423,43.99,8.158,0.00012031
65,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,171,39.9313,1679.8087,1344.386,42.07,8.903,0.00016584
66,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,178,40.6665,1415.3819,1073.7833,34.8,9.045,0.00020714
67,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,183,46.8086,1816.393,1423.201,38.8,8.584,0.00012885
68,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,187,41.4254,1642.0319,1294.0587,39.64,7.669,0.00014306
