ID,HW_Platform,Backend,Precision,Category,Output_Tokens,Latency_s,Gross_Energy_J,Net_Energy_J,Power_W,Q_ped,LpW
1,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,176,16.9399,576.2755,433.9803,34.02,7.716,0.00104957
2,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,161,14.116,461.6863,343.1116,32.71,7.685,0.0015867
3,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,168,17.8759,503.8417,353.6838,28.19,8.699,0.00137589
4,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,191,18.2752,475.0267,321.5152,25.99,8.182,0.0013925
5,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,178,12.2028,267.2336,164.7298,21.9,7.9,0.00393002
6,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,185,13.5654,389.0321,275.0825,28.68,8.269,0.00221593
7,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,192,16.5685,612.6548,473.4797,36.98,6.914,0.00088134
8,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,169,15.6359,491.2433,359.9019,31.42,7.988,0.00141949
9,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,194,16.2647,465.7109,329.0872,28.63,9.049,0.00169061
10,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,186,14.5086,457.0534,335.1811,31.5,8.079,0.00166132
11,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,150,18.1467,468.7178,316.2852,25.83,8.045,0.00140168
12,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,17.9334,526.6579,376.0177,29.37,8.295,0.00123012
13,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,166,16.4387,501.0264,362.9417,30.48,8.476,0.00142065
14,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,141,18.6672,559.2493,402.4448,29.96,6.971,0.00092792
15,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,155,17.2818,560.1757,415.0089,32.41,7.135,0.00099483
16,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,155,14.4955,451.7519,329.9898,31.17,8.119,0.00169734
17,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,179,17.0744,547.5977,404.1729,32.07,7.638,0.0011068
18,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,171,14.2863,403.9116,283.9062,28.27,8.692,0.00214301
19,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,170,18.1447,593.5851,441.1692,32.71,7.846,0.00098015
20,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,191,16.1952,562.9602,426.9209,34.76,7.004,0.00101301
21,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,185,15.9118,437.3129,303.6539,27.48,7.351,0.00152142
22,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,184,14.87,412.1152,287.2068,27.71,6.58,0.0015407
23,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,187,18.8673,640.3611,481.8755,33.94,7.888,0.0008676
24,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,191,15.9755,473.9007,339.7066,29.66,7.912,0.0014579
25,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,131,15.4005,525.6302,396.2659,34.13,7.789,0.00127632
26,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,169,15.5605,450.6467,319.9383,28.96,8.571,0.00172164
27,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,130,17.4178,596.9816,450.6717,34.27,8.633,0.00109978
28,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,178,17.0674,521.72,378.3536,30.57,7.921,0.00122663
29,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,177,17.1667,530.8478,386.6471,30.92,6.9,0.00103955
30,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,17.2047,594.9602,450.4405,34.58,8.331,0.00107501
31,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,20.7975,607.0164,432.3177,29.19,8.299,0.00092302
32,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,182,15.4465,425.7814,296.0305,27.56,8.171,0.00178693
33,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,166,15.2243,440.6522,312.7681,28.94,8.52,0.00178929
34,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,188,14.5911,459.1306,336.5656,31.47,7.404,0.00150768
35,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,166,17.5936,454.1931,306.4072,25.82,9.055,0.00167972
36,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,177,18.6708,597.1854,440.3503,31.98,7.511,0.00091356
37,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,199,16.0607,460.8049,325.8949,28.69,8.4,0.00160486
38,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,165,14.5357,485.6931,363.5935,33.41,7.133,0.00134965
39,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,195,14.5686,342.3046,219.9285,23.5,7.526,0.0023489
40,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,192,17.6662,494.6127,346.2163,28.0,8.799,0.00143861
41,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,156,17.8608,455.0563,305.0253,25.48,7.874,0.0014453
42,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,199,17.4406,486.359,339.8577,27.89,8.447,0.00142509
43,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,193,14.9024,460.3877,335.2073,30.89,8.133,0.0016281
44,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,180,16.7875,498.5591,357.5438,29.7,7.955,0.00132533
45,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,161,16.545,487.9222,348.9439,29.49,8.719,0.00151023
46,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,159,16.7592,498.6593,357.8817,29.75,7.887,0.00131498
47,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,166,18.13,557.8508,405.5588,30.77,7.084,0.00096344
48,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,189,16.7696,459.0849,318.2207,27.38,7.592,0.00142268
49,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,156,17.7257,570.3991,421.503,32.18,8.297,0.00111049
50,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,187,16.4419,527.0533,388.9412,32.06,8.216,0.00128477
51,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,150,16.9072,528.8237,386.8036,31.28,7.195,0.0011002
52,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,173,17.6257,559.7623,411.7064,31.76,7.633,0.00105187
53,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,180,13.24,410.836,299.6202,31.03,7.708,0.00194305
54,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,15.6287,561.0419,429.7609,35.9,7.82,0.00116428
55,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,147,15.3122,458.6949,330.0722,29.96,7.295,0.00144337
56,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,14.9584,438.8807,313.2305,29.34,7.683,0.00163977
57,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,181,15.7222,441.6386,309.5721,28.09,7.631,0.00156786
58,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,187,19.4394,530.8829,367.5921,27.31,8.411,0.00117706
59,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,180,14.4818,386.887,265.2403,26.72,8.431,0.00219492
60,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,187,18.3334,508.0432,354.0427,27.71,7.934,0.00122235
61,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,174,12.766,383.0059,275.7718,30.0,7.806,0.0022173
62,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,15.5967,485.6206,354.6079,31.14,8.083,0.00146147
63,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,167,16.6418,504.9649,365.1739,30.34,7.585,0.00124812
64,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,17.5311,491.8604,344.5994,28.06,7.414,0.00122724
65,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,163,17.7936,582.215,432.749,32.72,7.521,0.00097673
66,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,176,17.966,579.7701,428.8555,32.27,7.68,0.00099678
67,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,154,15.5677,463.1849,332.4164,29.75,7.405,0.00143093
