Model,HF_ID,ID,Category,Prompt,Latency_s,Net_Energy_J,Power_W,Response,VRAM_GB,Status
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,1,Mathematics,"Explain how to solve a quadratic equation using the quadratic formula, and walk through the steps for solving 2x² + 5x - 3 = 0.",,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,2,Mathematics,What is the difference between a function and a relation? Give an example of each.,,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,3,Mathematics,Explain what the slope of a line represents and how to calculate it from two points.,,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,4,Mathematics,How do you factor a trinomial of the form ax² + bx + c? Show the process with an example.,,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,5,Science,"Explain what photosynthesis is, what inputs it needs, and what it produces.",,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,6,Science,What is cellular respiration and how does it differ from breathing?,,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,7,Science,Explain the structure of DNA and what base pairing rules apply.,,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,8,Science,What is mitosis and why do cells need to divide?,,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,9,Programming-CS,What is a variable in programming? Explain it like I'm 10 years old using a box analogy.,,,,LOAD ERROR: 'type',,OOM/Error
Phi-3 Mini 4B,microsoft/Phi-3-mini-4k-instruct,10,Programming-CS,What is a 'For Loop'? Explain it like a chore list.,,,,LOAD ERROR: 'type',,OOM/Error
